model,method,is_control,record_id,relation_pid,a_old_qid,a_old_label,a_new_qid,a_new_label,prompt,generated
llama-3.1-8b,standard,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"Iran is a theocratic republic, with the Supreme Leader of Iran as the head of state and the President of Iran as the"
llama-3.1-8b,date_prefix,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,In 2021: Who is the head of government of Iran?,The answer is
llama-3.1-8b,instruction,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,"Answer with the current, most up-to-date fact. Who is the head of government of Iran?",What is the capital of Iran? What is the currency of Iran? What is the population of Iran? What is the area
llama-3.1-8b,tas,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,
llama-3.1-8b,iti,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,Nicolás Maduro
llama-3.1-8b,standard,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,Who is the head of government of Montenegro?,The head of government of Montenegro is the Prime Minister of Montenegro. The Prime Minister is the head of government and the
llama-3.1-8b,date_prefix,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,In 2022: Who is the head of government of Montenegro?,The Prime Minister of Montenegro is Dritan Abazović. He is the 30th Prime Minister of Mont
llama-3.1-8b,instruction,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,"Answer with the current, most up-to-date fact. Who is the head of government of Montenegro?",Who is the head of state of Montenegro? What is the capital of Montenegro? What is the currency of Montenegro
llama-3.1-8b,tas,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,Who is the head of government of Montenegro?,
llama-3.1-8b,iti,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,Who is the head of government of Montenegro?,Nicolai Vucic
llama-3.1-8b,standard,0,P6:Q23681:Q58174->Q47188815@2018-02-02,P6,Q58174,Hüseyin Özgürgün,Q47188815,Tufan Erhürman,Who is the head of government of Northern Cyprus?,The head of government of Northern Cyprus is the leader of the executive branch of the government of Northern Cyprus. The head of government
llama-3.1-8b,date_prefix,0,P6:Q23681:Q58174->Q47188815@2018-02-02,P6,Q58174,Hüseyin Özgürgün,Q47188815,Tufan Erhürman,In 2018: Who is the head of government of Northern Cyprus?,Who is the head of government of Northern Cyprus?
