model,method,record_id,auto_category,generated,gold_new,gold_old,human_category,notes
qwen-2.5-7b,iti,P6:Q794:Q348144->Q5947347@2021-08-03,new,"The head of government of Iran is the President of Iran. The current President of Iran is Ebrahim Raisi, who",Ebrahim Raisi,Hassan Rouhani,,
qwen-2.5-1.5b,instruction,P488:Q82558:Q63759289->Q106339676@2019-09-14,definitional,The chairperson of the Animalist Party with the Environment is a member of the party who is responsible for leading the party's,Laura Duarte Domínguez,Silvia Barquero Nogales,,
qwen-2.5-7b,date_prefix,P6:Q17:Q132345->Q122465@2020-09-16,new,The head of government of Japan in 2020 is Yoshihide Suga. He has been the Prime Minister of,Yoshihide Suga,Shinzō Abe,,
qwen-2.5-7b,standard,P488:Q1937121:Q77387->Q61051@2013-10-01,definitional,The chairperson of the Conference of Ministers-President is the President of the Conference of Ministers-President. The Conference of Ministers-President is,Winfried Kretschmann,Christine Lieberknecht,,
qwen-2.5-7b,iti,P6:Q17:Q132345->Q122465@2020-09-16,other_entity,The head of government of Japan is the Prime Minister. The current Prime Minister of Japan is Fumio Kishida.,Yoshihide Suga,Shinzō Abe,,
mistral-7b-v0.3,date_prefix,P286:Q754410:Q1336392->Q29782@2010-01-01,new,Answer: Alois Hadamczik,Alois Hadamczik,Vladimír Růžička,,
qwen-2.5-7b,standard,P35:Q786:Q57429->Q16594097@2020-08-16,new,The head of state of the Dominican Republic is the President. The current President of the Dominican Republic is Luis Abinader.,Luis Abinader,Danilo Medina,,
qwen-2.5-7b,iti,P488:Q9630:Q291169->Q6383803@2020-04-04,definitional,Answer the above question based on the context below:  The Labour Party was formed in 1906 as a,Keir Starmer,Jeremy Corbyn,,
llama-3.1-8b,iti,P488:Q6373:Q7327231->Q332493@2021-10-04,other_entity,"Nicolò Dell’Unto, the chair of the British Museum, has announced that he will step down from his role at",George Osborne,Richard Lambert,,
mistral-7b-v0.3,instruction,P6:Q171224:Q6418596->Q28162495@2017-01-09,new,The mayor of Eugene is Lucy Vinis.,Lucy Vinis,Kitty Piercy,,
