model,method,is_control,record_id,relation_pid,a_old_qid,a_old_label,a_new_qid,a_new_label,prompt,generated
mistral-7b-v0.3,standard,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"Iran's head of government is the President of Iran, who is elected by popular vote for a four-"
mistral-7b-v0.3,date_prefix,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,In 2021: Who is the head of government of Iran?,The head of government of Iran is the President of Iran. The current President of Iran is Ebrahim Rais
mistral-7b-v0.3,instruction,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,"Answer with the current, most up-to-date fact. Who is the head of government of Iran?",Answer:
mistral-7b-v0.3,tas,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"Iran's head of government is the President of Iran, who is elected by popular vote for a four-"
mistral-7b-v0.3,iti,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"Iran's head of government is the President of Iran, who is elected by popular vote for a four-"
mistral-7b-v0.3,standard,0,P6:Q778:Q317664->Q57705@2012-05-08,P6,Q317664,Hubert Ingraham,Q57705,Perry Christie,Who is the head of government of The Bahamas?,The Prime Minister of The Bahamas is the head of government of The Bahamas. The Prime Minister is the leader
mistral-7b-v0.3,date_prefix,0,P6:Q778:Q317664->Q57705@2012-05-08,P6,Q317664,Hubert Ingraham,Q57705,Perry Christie,In 2012: Who is the head of government of The Bahamas?,A. Hubert Ingraham
mistral-7b-v0.3,instruction,0,P6:Q778:Q317664->Q57705@2012-05-08,P6,Q317664,Hubert Ingraham,Q57705,Perry Christie,"Answer with the current, most up-to-date fact. Who is the head of government of The Bahamas?",## Answer
mistral-7b-v0.3,tas,0,P6:Q778:Q317664->Q57705@2012-05-08,P6,Q317664,Hubert Ingraham,Q57705,Perry Christie,Who is the head of government of The Bahamas?,The Prime Minister of The Bahamas is the head of government of The Bahamas. The Prime Minister is the leader
mistral-7b-v0.3,iti,0,P6:Q778:Q317664->Q57705@2012-05-08,P6,Q317664,Hubert Ingraham,Q57705,Perry Christie,Who is the head of government of The Bahamas?,The Prime Minister of The Bahamas is the head of government of The Bahamas. The Prime Minister is the leader
mistral-7b-v0.3,standard,0,P6:Q778:Q16732648->Q7183082@2021-09-17,P6,Q16732648,Hubert Minnis,Q7183082,"Philip ""Brave"" Davis",Who is the head of government of The Bahamas?,The Prime Minister of The Bahamas is the head of government of The Bahamas. The Prime Minister is the leader
mistral-7b-v0.3,date_prefix,0,P6:Q778:Q16732648->Q7183082@2021-09-17,P6,Q16732648,Hubert Minnis,Q7183082,"Philip ""Brave"" Davis",In 2021: Who is the head of government of The Bahamas?,The head of government of The Bahamas is Prime Minister Philip Davis.
mistral-7b-v0.3,instruction,0,P6:Q778:Q16732648->Q7183082@2021-09-17,P6,Q16732648,Hubert Minnis,Q7183082,"Philip ""Brave"" Davis","Answer with the current, most up-to-date fact. Who is the head of government of The Bahamas?",## Answer
mistral-7b-v0.3,tas,0,P6:Q778:Q16732648->Q7183082@2021-09-17,P6,Q16732648,Hubert Minnis,Q7183082,"Philip ""Brave"" Davis",Who is the head of government of The Bahamas?,The Prime Minister of The Bahamas is the head of government of The Bahamas. The Prime Minister is the leader
mistral-7b-v0.3,iti,0,P6:Q778:Q16732648->Q7183082@2021-09-17,P6,Q16732648,Hubert Minnis,Q7183082,"Philip ""Brave"" Davis",Who is the head of government of The Bahamas?,The Prime Minister of The Bahamas is the head of government of The Bahamas. The Prime Minister is the leader
mistral-7b-v0.3,standard,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,Who is the head of government of Montenegro?,The President of Montenegro is the head of state and the commander-in-chief of the armed
mistral-7b-v0.3,date_prefix,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,In 2022: Who is the head of government of Montenegro?,The head of government of Montenegro is Dritan Abazović.
mistral-7b-v0.3,instruction,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,"Answer with the current, most up-to-date fact. Who is the head of government of Montenegro?",## Answer
mistral-7b-v0.3,tas,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,Who is the head of government of Montenegro?,"Montenegro is a parliamentary republic. The head of government is the Prime Minister, who is appointed by"
mistral-7b-v0.3,iti,0,P6:Q236:Q97999161->Q16353146@2022-04-28,P6,Q97999161,Zdravko Krivokapić,Q16353146,Dritan Abazović,Who is the head of government of Montenegro?,The President of Montenegro is the head of state and the commander-in-chief of the armed
mistral-7b-v0.3,standard,0,P6:Q2865:Q828457->Q33262484@2017-07-22,P6,Q828457,Bertram Hilgen,Q33262484,Christian Geselle,Who is the head of government of Kassel?,The head of government of Kassel is the Minister-President of Hesse. The Minister-President
mistral-7b-v0.3,date_prefix,0,P6:Q2865:Q828457->Q33262484@2017-07-22,P6,Q828457,Bertram Hilgen,Q33262484,Christian Geselle,In 2017: Who is the head of government of Kassel?,The head of government of Kassel is the mayor. The mayor is elected by the city council. The mayor
mistral-7b-v0.3,instruction,0,P6:Q2865:Q828457->Q33262484@2017-07-22,P6,Q828457,Bertram Hilgen,Q33262484,Christian Geselle,"Answer with the current, most up-to-date fact. Who is the head of government of Kassel?",## Answer
mistral-7b-v0.3,tas,0,P6:Q2865:Q828457->Q33262484@2017-07-22,P6,Q828457,Bertram Hilgen,Q33262484,Christian Geselle,Who is the head of government of Kassel?,The head of government of Kassel is the Minister-President of Hesse. The Minister-President
mistral-7b-v0.3,iti,0,P6:Q2865:Q828457->Q33262484@2017-07-22,P6,Q828457,Bertram Hilgen,Q33262484,Christian Geselle,Who is the head of government of Kassel?,The head of government of Kassel is the Minister-President of Hesse. The Minister-President
mistral-7b-v0.3,standard,0,P6:Q7070:Q1909821->Q1736669@2012-07-01,P6,Q1909821,Matthias Doht,Q1736669,Katja Wolf,Who is the head of government of Eisenach?,"Eisenach is a city in the Wartburgkreis district in Thuringia, Germany. It is the"
mistral-7b-v0.3,date_prefix,0,P6:Q7070:Q1909821->Q1736669@2012-07-01,P6,Q1909821,Matthias Doht,Q1736669,Katja Wolf,In 2012: Who is the head of government of Eisenach?,In 2012: Who is the head of government of Eisenach?
mistral-7b-v0.3,instruction,0,P6:Q7070:Q1909821->Q1736669@2012-07-01,P6,Q1909821,Matthias Doht,Q1736669,Katja Wolf,"Answer with the current, most up-to-date fact. Who is the head of government of Eisenach?",## Answer
mistral-7b-v0.3,tas,0,P6:Q7070:Q1909821->Q1736669@2012-07-01,P6,Q1909821,Matthias Doht,Q1736669,Katja Wolf,Who is the head of government of Eisenach?,"Eisenach is a city in the Wartburgkreis district in Thuringia, Germany. It is the"
mistral-7b-v0.3,iti,0,P6:Q7070:Q1909821->Q1736669@2012-07-01,P6,Q1909821,Matthias Doht,Q1736669,Katja Wolf,Who is the head of government of Eisenach?,"Eisenach is a city in the Wartburgkreis district in Thuringia, Germany. It is the"
mistral-7b-v0.3,standard,0,P6:Q171224:Q6418596->Q28162495@2017-01-09,P6,Q6418596,Kitty Piercy,Q28162495,Lucy Vinis,Who is the head of government of Eugene?,The city of Eugene is governed by a mayor and a city council. The mayor is elected at-large to
