record_id,canonical_id,row_index,subject_qid,relation_id,update_date,split,grouping_key,seed,split_version,is_ptc__qwen-2.5-1.5b,knowledge_absent__qwen-2.5-1.5b,is_ptc__qwen-2.5-7b,knowledge_absent__qwen-2.5-7b,is_ptc__mistral-7b-v0.3,knowledge_absent__mistral-7b-v0.3,is_ptc__llama-3.1-8b,knowledge_absent__llama-3.1-8b
P6:Q1296:Q12500->Q1939878@2018-01-01,P6:Q1296:Q12500->Q1939878,0,Q1296,P6,2018-01-01,train,Q1296,20260712,v1,0,1,0,0,0,0,0,0
P6:Q38:Q11860->Q47904@2011-11-16,P6:Q38:Q11860->Q47904,1,Q38,P6,2011-11-16,train,Q38,20260712,v1,0,0,0,0,1,0,1,0
P6:Q38:Q47904->Q674957@2013-04-28,P6:Q38:Q47904->Q674957,2,Q38,P6,2013-04-28,train,Q38,20260712,v1,1,0,1,0,1,0,1,0
P6:Q38:Q674957->Q47563@2014-02-22,P6:Q38:Q674957->Q47563,3,Q38,P6,2014-02-22,train,Q38,20260712,v1,0,0,0,0,0,0,0,0
P6:Q38:Q47563->Q1071031@2016-12-12,P6:Q38:Q47563->Q1071031,4,Q38,P6,2016-12-12,train,Q38,20260712,v1,1,0,0,0,1,0,1,0
P6:Q38:Q1071031->Q53844829@2018-06-01,P6:Q38:Q1071031->Q53844829,5,Q38,P6,2018-06-01,train,Q38,20260712,v1,0,0,0,0,0,0,0,0
P6:Q38:Q53844829->Q294460@2021-02-13,P6:Q38:Q53844829->Q294460,6,Q38,P6,2021-02-13,train,Q38,20260712,v1,0,0,1,0,1,0,1,0
P6:Q38:Q294460->Q451791@2022-10-22,P6:Q38:Q294460->Q451791,7,Q38,P6,2022-10-22,train,Q38,20260712,v1,0,0,0,0,0,0,1,0
P6:Q836:Q36740->Q3462649@2021-02-01,P6:Q836:Q36740->Q3462649,8,Q836,P6,2021-02-01,train,Q836,20260712,v1,0,0,0,0,1,0,1,0
P6:Q8646:Q15024->Q15023@2012-07-01,P6:Q8646:Q15024->Q15023,9,Q8646,P6,2012-07-01,train,Q8646,20260712,v1,0,0,1,0,0,0,0,0
P6:Q8646:Q15023->Q19217@2017-07-01,P6:Q8646:Q15023->Q19217,10,Q8646,P6,2017-07-01,train,Q8646,20260712,v1,0,0,0,0,0,0,0,0
P6:Q8646:Q19217->Q9051824@2022-07-01,P6:Q8646:Q19217->Q9051824,11,Q8646,P6,2022-07-01,train,Q8646,20260712,v1,0,0,1,0,1,0,1,0
P6:Q9337:Q12869->Q2355582@2014-07-25,P6:Q9337:Q12869->Q2355582,12,Q9337,P6,2014-07-25,validation,Q9337,20260712,v1,0,0,0,0,0,0,0,0
P6:Q9337:Q2355582->Q2012165@2019-07-02,P6:Q9337:Q2355582->Q2012165,13,Q9337,P6,2019-07-02,validation,Q9337,20260712,v1,0,1,0,0,0,0,0,0
P6:Q794:Q34448->Q348144@2013-08-03,P6:Q794:Q34448->Q348144,14,Q794,P6,2013-08-03,test,Q794,20260712,v1,1,0,0,0,0,0,0,0
P6:Q794:Q348144->Q5947347@2021-08-03,P6:Q794:Q348144->Q5947347,15,Q794,P6,2021-08-03,test,Q794,20260712,v1,0,0,1,0,1,0,1,0
P6:Q16:Q206->Q3099714@2015-11-04,P6:Q16:Q206->Q3099714,16,Q16,P6,2015-11-04,test,Q16,20260712,v1,0,0,0,0,0,0,0,0
P6:Q183:Q567->Q61053@2021-12-08,P6:Q183:Q567->Q61053,17,Q183,P6,2021-12-08,test,Q183,20260712,v1,1,0,1,0,0,0,0,0
P6:Q36:Q946->Q246216@2014-09-22,P6:Q36:Q946->Q246216,18,Q36,P6,2014-09-22,train,Q36,20260712,v1,0,0,0,0,1,0,0,0
P6:Q36:Q246216->Q4877021@2015-11-16,P6:Q36:Q246216->Q4877021,19,Q36,P6,2015-11-16,train,Q36,20260712,v1,0,0,0,0,0,0,0,0
P6:Q36:Q4877021->Q11771436@2017-12-11,P6:Q36:Q4877021->Q11771436,20,Q36,P6,2017-12-11,train,Q36,20260712,v1,0,0,0,0,0,0,0,0
P6:Q159:Q7747->Q147425@2012-05-07,P6:Q159:Q7747->Q147425,21,Q159,P6,2012-05-07,train,Q159,20260712,v1,0,0,0,0,0,0,0,0
P6:Q159:Q23530->Q4298520@2020-01-16,P6:Q159:Q23530->Q4298520,22,Q159,P6,2020-01-16,train,Q159,20260712,v1,0,0,1,0,1,0,1,0
P6:Q219060:Q13415154->Q16192933@2019-03-10,P6:Q219060:Q13415154->Q16192933,23,Q219060,P6,2019-03-10,train,Q219060,20260712,v1,0,0,0,0,0,0,0,0
P6:Q408:Q43135->Q41563@2010-06-24,P6:Q408:Q43135->Q41563,24,Q408,P6,2010-06-24,train,Q408,20260712,v1,0,0,0,0,0,0,0,0
P6:Q408:Q41563->Q43135@2013-06-27,P6:Q408:Q41563->Q43135,25,Q408,P6,2013-06-27,train,Q408,20260712,v1,0,0,0,0,0,0,0,0
P6:Q408:Q348577->Q927550@2015-09-15,P6:Q408:Q348577->Q927550,26,Q408,P6,2015-09-15,train,Q408,20260712,v1,0,0,0,0,0,0,0,0
P6:Q408:Q927550->Q7436908@2018-08-24,P6:Q408:Q927550->Q7436908,27,Q408,P6,2018-08-24,train,Q408,20260712,v1,1,0,1,0,0,0,0,0
P6:Q408:Q7436908->Q335697@2022-05-23,P6:Q408:Q7436908->Q335697,28,Q408,P6,2022-05-23,train,Q408,20260712,v1,0,0,0,0,1,0,1,0
P6:Q980:Q44612->Q50664@2018-03-15,P6:Q980:Q44612->Q50664,29,Q980,P6,2018-03-15,test,Q980,20260712,v1,0,0,1,0,0,0,0,0
P6:Q145:Q192->Q264766@2016-07-13,P6:Q145:Q192->Q264766,30,Q145,P6,2016-07-13,train,Q145,20260712,v1,1,0,0,0,0,0,0,0
P6:Q145:Q264766->Q180589@2019-07-24,P6:Q145:Q264766->Q180589,31,Q145,P6,2019-07-24,train,Q145,20260712,v1,0,0,1,0,0,0,0,0
P6:Q145:Q180589->Q272201@2022-09-06,P6:Q145:Q180589->Q272201,32,Q145,P6,2022-09-06,train,Q145,20260712,v1,1,0,1,0,1,0,1,0
P6:Q3138:Q123060->Q19721051@2015-01-01,P6:Q3138:Q123060->Q19721051,33,Q3138,P6,2015-01-01,train,Q3138,20260712,v1,0,1,0,1,0,0,0,0
P6:Q213:Q193675->Q35786@2010-06-28,P6:Q213:Q193675->Q35786,34,Q213,P6,2010-06-28,train,Q213,20260712,v1,0,0,0,0,0,0,0,0
P6:Q213:Q35786->Q12025475@2013-06-25,P6:Q213:Q35786->Q12025475,35,Q213,P6,2013-06-25,train,Q213,20260712,v1,0,0,0,0,1,0,1,0
P6:Q213:Q12025475->Q890971@2014-01-29,P6:Q213:Q12025475->Q890971,36,Q213,P6,2014-01-29,train,Q213,20260712,v1,0,0,0,0,0,0,0,0
P6:Q213:Q890971->Q10819807@2017-12-06,P6:Q213:Q890971->Q10819807,37,Q213,P6,2017-12-06,train,Q213,20260712,v1,0,0,1,0,0,0,0,0
P6:Q213:Q10819807->Q3377548@2021-11-28,P6:Q213:Q10819807->Q3377548,38,Q213,P6,2021-11-28,train,Q213,20260712,v1,0,0,0,0,0,0,1,0
P6:Q778:Q317664->Q57705@2012-05-08,P6:Q778:Q317664->Q57705,39,Q778,P6,2012-05-08,test,Q778,20260712,v1,0,0,1,0,1,0,0,0
P6:Q778:Q57705->Q16732648@2017-05-11,P6:Q778:Q57705->Q16732648,40,Q778,P6,2017-05-11,test,Q778,20260712,v1,0,0,1,0,0,0,0,0
P6:Q778:Q16732648->Q7183082@2021-09-17,P6:Q778:Q16732648->Q7183082,41,Q778,P6,2021-09-17,test,Q778,20260712,v1,0,1,0,0,1,0,0,0
P6:Q212:Q57590->Q1711587@2014-01-28,P6:Q212:Q57590->Q1711587,42,Q212,P6,2014-01-28,calibration,Q212,20260712,v1,0,1,0,0,0,0,0,0
P6:Q212:Q471730->Q4150130@2016-04-14,P6:Q212:Q471730->Q4150130,43,Q212,P6,2016-04-14,calibration,Q212,20260712,v1,0,1,1,0,0,0,0,0
P6:Q212:Q4150130->Q64486491@2019-08-29,P6:Q212:Q4150130->Q64486491,44,Q212,P6,2019-08-29,calibration,Q212,20260712,v1,0,1,0,0,0,0,0,0
P6:Q212:Q64486491->Q66094865@2020-03-04,P6:Q212:Q64486491->Q66094865,45,Q212,P6,2020-03-04,calibration,Q212,20260712,v1,0,0,0,0,0,0,0,0
P6:Q34:Q52920->Q2740012@2014-10-03,P6:Q34:Q52920->Q2740012,46,Q34,P6,2014-10-03,calibration,Q34,20260712,v1,1,0,0,0,0,0,0,0
P6:Q34:Q2740012->Q4935873@2021-11-30,P6:Q34:Q2740012->Q4935873,47,Q34,P6,2021-11-30,calibration,Q34,20260712,v1,0,0,1,0,1,0,1,0
P6:Q34:Q4935873->Q1780398@2022-10-18,P6:Q34:Q4935873->Q1780398,48,Q34,P6,2022-10-18,calibration,Q34,20260712,v1,0,0,0,0,0,0,0,0
P6:Q800:Q49344->Q57321@2010-05-08,P6:Q800:Q49344->Q57321,49,Q800,P6,2010-05-08,train,Q800,20260712,v1,1,0,1,0,0,0,1,0
P6:Q800:Q57321->Q5983599@2014-05-08,P6:Q800:Q57321->Q5983599,50,Q800,P6,2014-05-08,train,Q800,20260712,v1,0,0,0,0,0,0,0,0
P6:Q800:Q5983599->Q26996246@2018-05-08,P6:Q800:Q5983599->Q26996246,51,Q800,P6,2018-05-08,train,Q800,20260712,v1,0,0,0,0,0,0,0,0
P6:Q800:Q26996246->Q98017689@2022-05-08,P6:Q800:Q26996246->Q98017689,52,Q800,P6,2022-05-08,train,Q800,20260712,v1,0,0,0,0,1,0,1,0
P6:Q766445:Q452327->Q11610464@2014-12-10,P6:Q766445:Q452327->Q11610464,53,Q766445,P6,2014-12-10,validation,Q766445,20260712,v1,0,0,0,0,1,0,0,0
P6:Q766445:Q11610464->Q11572466@2018-10-04,P6:Q766445:Q11610464->Q11572466,54,Q766445,P6,2018-10-04,validation,Q766445,20260712,v1,0,1,0,0,0,0,0,0
P6:Q1408:Q380570->Q63879@2010-01-19,P6:Q1408:Q380570->Q63879,55,Q1408,P6,2010-01-19,train,Q1408,20260712,v1,1,0,0,0,0,0,0,0
P6:Q1408:Q63879->Q260042@2018-01-16,P6:Q1408:Q63879->Q260042,56,Q1408,P6,2018-01-16,train,Q1408,20260712,v1,1,0,1,0,1,0,0,0
P6:Q174:Q2546210->Q3069485@2013-01-01,P6:Q174:Q2546210->Q3069485,57,Q174,P6,2013-01-01,train,Q174,20260712,v1,1,0,0,0,0,0,1,0
P6:Q174:Q3069485->Q10311413@2017-01-01,P6:Q174:Q3069485->Q10311413,58,Q174,P6,2017-01-01,train,Q174,20260712,v1,0,0,0,0,0,0,0,0
P6:Q174:Q10311413->Q9667541@2018-04-06,P6:Q174:Q10311413->Q9667541,59,Q174,P6,2018-04-06,train,Q174,20260712,v1,0,0,0,0,0,0,0,0
P6:Q174:Q9667541->Q56195607@2021-05-16,P6:Q174:Q9667541->Q56195607,60,Q174,P6,2021-05-16,train,Q174,20260712,v1,0,1,0,0,0,0,0,1
P6:Q175:Q379563->Q4712051@2010-04-02,P6:Q175:Q379563->Q4712051,61,Q175,P6,2010-04-02,train,Q175,20260712,v1,0,1,0,0,0,0,0,0
P6:Q175:Q4712051->Q964493@2011-01-01,P6:Q175:Q4712051->Q964493,62,Q175,P6,2011-01-01,train,Q175,20260712,v1,0,0,0,0,0,0,0,0
P6:Q175:Q964493->Q10334305@2018-04-06,P6:Q175:Q964493->Q10334305,63,Q175,P6,2018-04-06,train,Q175,20260712,v1,0,0,1,0,0,0,1,0
P6:Q175:Q10334305->Q10311413@2019-01-01,P6:Q175:Q10334305->Q10311413,64,Q175,P6,2019-01-01,train,Q175,20260712,v1,0,0,0,0,0,0,0,0
P6:Q1216:Q437151->Q762411@2010-01-01,P6:Q1216:Q437151->Q762411,65,Q1216,P6,2010-01-01,train,Q1216,20260712,v1,0,1,0,1,0,0,0,0
P6:Q2989386:Q3179736->Q33194211@2017-06-29,P6:Q2989386:Q3179736->Q33194211,66,Q2989386,P6,2017-06-29,train,Q2989386,20260712,v1,0,1,0,1,0,1,0,1
P6:Q2989386:Q33194211->Q3179736@2020-07-09,P6:Q2989386:Q33194211->Q3179736,67,Q2989386,P6,2020-07-09,train,Q2989386,20260712,v1,0,1,0,1,0,1,0,0
P6:Q1447:Q507595->Q576709@2015-06-01,P6:Q1447:Q507595->Q576709,68,Q1447,P6,2015-06-01,train,Q1447,20260712,v1,0,1,0,0,0,0,0,0
P6:Q4140:Q498003->Q110914817@2022-01-01,P6:Q4140:Q498003->Q110914817,69,Q4140,P6,2022-01-01,train,Q4140,20260712,v1,0,1,0,1,0,1,0,1
P6:Q214:Q57606->Q211771@2010-07-08,P6:Q214:Q57606->Q211771,70,Q214,P6,2010-07-08,validation,Q214,20260712,v1,0,0,1,0,1,0,1,0
P6:Q214:Q211771->Q57606@2012-04-04,P6:Q214:Q211771->Q57606,71,Q214,P6,2012-04-04,validation,Q214,20260712,v1,0,0,0,0,0,0,0,0
P6:Q214:Q57606->Q17330556@2018-03-22,P6:Q214:Q57606->Q17330556,72,Q214,P6,2018-03-22,validation,Q214,20260712,v1,0,0,1,0,0,0,0,0
P6:Q214:Q17330556->Q552706@2020-03-21,P6:Q214:Q17330556->Q552706,73,Q214,P6,2020-03-21,validation,Q214,20260712,v1,0,0,1,0,0,0,1,0
P6:Q214:Q552706->Q46227987@2021-04-01,P6:Q214:Q552706->Q46227987,74,Q214,P6,2021-04-01,validation,Q214,20260712,v1,0,0,0,0,1,0,1,0
P6:Q270:Q271902->Q9303115@2018-11-22,P6:Q270:Q271902->Q9303115,75,Q270,P6,2018-11-22,calibration,Q270,20260712,v1,0,0,1,0,0,0,0,0
