model,method,is_control,record_id,relation_pid,a_old_qid,a_old_label,a_new_qid,a_new_label,prompt,generated
qwen-2.5-1.5b,standard,0,P6:Q794:Q34448->Q348144@2013-08-03,P6,Q34448,Mahmoud Ahmadinejad,Q348144,Hassan Rouhani,Who is the head of government of Iran?,The head of government of Iran is the President of Iran.
qwen-2.5-1.5b,date_prefix,0,P6:Q794:Q34448->Q348144@2013-08-03,P6,Q34448,Mahmoud Ahmadinejad,Q348144,Hassan Rouhani,In 2013: Who is the head of government of Iran?,Hassan Rouhani
qwen-2.5-1.5b,instruction,0,P6:Q794:Q34448->Q348144@2013-08-03,P6,Q34448,Mahmoud Ahmadinejad,Q348144,Hassan Rouhani,"Answer with the current, most up-to-date fact. Who is the head of government of Iran?",President Hassan Rouhani
qwen-2.5-1.5b,tas,0,P6:Q794:Q34448->Q348144@2013-08-03,P6,Q34448,Mahmoud Ahmadinejad,Q348144,Hassan Rouhani,Who is the head of government of Iran?,A: Mohammad Reza Pahlavi B: Mohammad Reza Pahlavi C: Mohammad Reza Pahlavi D
qwen-2.5-1.5b,iti,0,P6:Q794:Q34448->Q348144@2013-08-03,P6,Q34448,Mahmoud Ahmadinejad,Q348144,Hassan Rouhani,Who is the head of government of Iran?,The head of government of Iran is the President of Iran.
qwen-2.5-1.5b,standard,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,Who is the head of government of Germany?,The head of government of Germany is the Chancellor. The Chancellor is the leader of the party or coalition that holds the majority of
qwen-2.5-1.5b,date_prefix,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,In 2021: Who is the head of government of Germany?,Angela Merkel
qwen-2.5-1.5b,instruction,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,"Answer with the current, most up-to-date fact. Who is the head of government of Germany?",Angela Merkel
qwen-2.5-1.5b,tas,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,Who is the head of government of Germany?,A: Angela Merkel B: Angela Merkel C: Angela Merkel D: Angela Merkel
qwen-2.5-1.5b,iti,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,Who is the head of government of Germany?,The head of government of Germany is the Chancellor.
