model,method,is_control,record_id,relation_pid,a_old_qid,a_old_label,a_new_qid,a_new_label,prompt,generated
qwen-2.5-7b,standard,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"The head of government of Iran is the President of Iran. The current President of Iran is Ebrahim Raisi, who"
qwen-2.5-7b,date_prefix,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,In 2021: Who is the head of government of Iran?,The head of government of Iran in 2021 is Mr. Ebrahim Raisi. He was elected as
qwen-2.5-7b,instruction,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,"Answer with the current, most up-to-date fact. Who is the head of government of Iran?",The head of government of Iran is President Ebrahim Raisi.
qwen-2.5-7b,tas,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"The head of government of Iran is the President of Iran. The current President of Iran is Ebrahim Raisi, who"
qwen-2.5-7b,iti,0,P6:Q794:Q348144->Q5947347@2021-08-03,P6,Q348144,Hassan Rouhani,Q5947347,Ebrahim Raisi,Who is the head of government of Iran?,"The head of government of Iran is the President of Iran. The current President of Iran is Ebrahim Raisi, who"
qwen-2.5-7b,standard,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,Who is the head of government of Germany?,Angela Merkel
qwen-2.5-7b,date_prefix,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,In 2021: Who is the head of government of Germany?,Angela Merkel
qwen-2.5-7b,instruction,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,"Answer with the current, most up-to-date fact. Who is the head of government of Germany?",Angela Merkel
qwen-2.5-7b,tas,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,Who is the head of government of Germany?,The head of government of Germany is the Chancellor. The current Chancellor of Germany is Angela Merkel.
qwen-2.5-7b,iti,0,P6:Q183:Q567->Q61053@2021-12-08,P6,Q567,Angela Merkel,Q61053,Olaf Scholz,Who is the head of government of Germany?,The head of government of Germany is the Chancellor. The current Chancellor of Germany is Angela Merkel.
qwen-2.5-7b,standard,0,P6:Q980:Q44612->Q50664@2018-03-15,P6,Q44612,Horst Seehofer,Q50664,Markus Söder,Who is the head of government of Bavaria?,The head of government of Bavaria is Markus Söder.
qwen-2.5-7b,date_prefix,0,P6:Q980:Q44612->Q50664@2018-03-15,P6,Q44612,Horst Seehofer,Q50664,Markus Söder,In 2018: Who is the head of government of Bavaria?,"In 2018, the head of government of Bavaria was Markus Söder. He was the leader of"
qwen-2.5-7b,instruction,0,P6:Q980:Q44612->Q50664@2018-03-15,P6,Q44612,Horst Seehofer,Q50664,Markus Söder,"Answer with the current, most up-to-date fact. Who is the head of government of Bavaria?",The head of government of Bavaria is Markus Söder.
qwen-2.5-7b,tas,0,P6:Q980:Q44612->Q50664@2018-03-15,P6,Q44612,Horst Seehofer,Q50664,Markus Söder,Who is the head of government of Bavaria?,The head of government of Bavaria is Markus Söder.
qwen-2.5-7b,iti,0,P6:Q980:Q44612->Q50664@2018-03-15,P6,Q44612,Horst Seehofer,Q50664,Markus Söder,Who is the head of government of Bavaria?,1. The head of government of Bavaria is the Prime Minister of Bavaria.
